Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"MB by Commonwealth Electoral Divisions (UR) by AGEP Age, HEAP - 1 Digit Level and SEXP Sex"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGEP Age","ages45to59",,,,"age18to29",,,,"ages30to44",,,,"ages60plus",,,,"Total",,,,
"HEAP - 1 Digit Level","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV",
"SEXP Sex","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male",
"MB by Commonwealth Electoral Divisions (UR)",
"Werriwa",578,1659,6576,5297,202,1588,7737,3264,1013,2387,6238,5586,214,802,5501,2950,2007,6435,26052,17100,
"Whitlam",435,1139,4916,6450,54,628,5092,3454,415,1325,3846,6114,564,1388,6604,6366,1474,4476,20455,22383,
"Wide Bay",308,1143,5244,6194,16,256,3849,2255,176,982,3419,4372,495,1482,8555,7432,997,3868,21066,20248,
"Wills",997,2095,4065,3851,1103,3971,6144,3565,2782,6037,4141,5606,415,845,5556,2667,5292,12953,19912,15692,
"Wright",387,1149,5754,7215,50,511,5288,3090,317,1228,4439,6530,364,979,6605,5274,1126,3865,22092,22109,
"Bass",354,990,3693,3832,78,565,4187,2074,312,1137,2883,3067,354,853,5089,3884,1100,3545,15852,12856,
"Barker",198,853,8118,6082,43,459,5545,3257,195,1089,5095,5513,206,876,11248,5860,639,3278,30006,20712,
"Barton",1080,2469,4938,4341,1230,4300,7524,3239,2957,5482,4775,5512,482,1342,6902,3307,5751,13601,24132,16400,
"Bean",1483,2416,3458,4920,174,1340,5300,2611,1447,3136,3112,4809,1231,2262,3616,3877,4337,9148,15489,16214,
"Bendigo",518,1439,4462,5841,72,862,4904,3194,450,1903,3306,5143,557,1420,6458,5753,1594,5613,19126,19928,
"Bennelong",2322,3822,3168,4370,1206,4056,7158,2365,3943,6432,2943,4232,1286,2755,4695,4057,8757,17061,17970,15017,
"Berowra",2243,4072,2731,5240,257,1916,5383,1914,1970,3624,1954,3731,1528,3120,3747,5146,5997,12728,13818,16032,
"Blair",348,969,5613,6104,69,712,6580,4114,365,1435,5476,6547,232,742,5915,4952,1010,3861,23579,21722,
"Blaxland",569,1593,6721,3802,652,2756,9584,3146,1457,3212,6876,4721,279,954,6547,3100,2953,8519,29732,14766,
"Bonner",1131,2626,3875,5493,267,1805,5551,3004,1430,3811,3427,5493,588,1440,4883,4576,3416,9684,17737,18563,
"Boothby",1310,2807,4202,5679,338,2154,6396,2892,1648,4204,3279,5105,1063,2610,6306,6401,4363,11770,20185,20079,
"Bowman",585,1639,4494,6995,51,771,4992,3327,396,1638,3771,6078,513,1391,5765,6631,1557,5439,19021,23026,
"Braddon",163,644,4215,4261,36,264,3425,2091,131,635,2914,3537,202,640,6141,4107,530,2182,16697,13996,
"Bradfield",3464,5642,2158,3308,456,2460,5441,1281,3538,5789,1842,2657,2360,4580,3344,3541,9823,18468,12790,10782,
"Brand",307,986,4983,7006,68,684,6466,4788,525,1884,5276,7762,146,535,4678,4672,1049,4086,21394,24233,
"Brisbane",1913,3854,2956,3943,888,5327,7852,4292,2884,7072,3471,5203,948,1995,3024,2594,6636,18258,17300,16023,
"Bruce",521,1481,6859,5028,398,2232,8495,4326,1313,3152,6785,5904,266,933,7677,4447,2497,7789,29824,19707,
"Burt",602,1534,5209,5706,188,1491,7195,4284,1428,3399,5771,6911,256,779,4817,4614,2472,7204,22994,21523,
"Calare",461,1243,5224,6463,61,678,5236,3558,377,1526,3949,5807,489,1254,7591,5785,1384,4701,21998,21612,
"Calwell",361,1173,6511,4610,286,1622,7732,3946,1195,2533,6549,5490,135,537,5331,2584,1980,5863,26128,16627,
"Canberra",2576,2862,1963,2844,879,3782,6902,2094,3140,4205,1959,2976,2031,2638,2308,2546,8627,13497,13136,10457,
"Canning",267,1054,4735,6380,27,416,4858,3483,297,1164,4053,5617,276,961,7087,6627,869,3594,20734,22104,
"Capricornia",332,933,5529,6492,58,645,5211,3786,347,1335,4432,6739,226,623,6453,4591,958,3537,21633,21610,
"Casey",504,1559,4807,7228,104,865,5226,3993,447,1956,3684,6657,480,1380,5476,5892,1533,5760,19189,23765,
"Chifley",543,1823,6125,4595,248,1547,8112,3477,1552,3090,6093,5342,266,1043,5564,3118,2614,7509,25895,16532,
"Chisholm",2089,4013,3482,4507,989,3940,7940,2865,2968,5228,2642,3636,1265,2793,5367,4790,7309,15970,19428,15801,
"Clark",845,1603,2977,3361,295,1362,4665,1915,935,2093,2465,2990,701,1490,3782,3153,2777,6553,13880,11425,
"Cook",922,2364,3413,5681,193,1507,4322,2709,951,2773,2801,5567,668,1855,4946,5538,2741,8491,15483,19487,
